language	gold_label	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	promptID	pairID	genre	label1	label2	label3	label4	label5	sentence1_tokenized	sentence2_tokenized	match
es	neutral					Let's see if we all have to go on strike until we get what we want.	Strike is the most effective method of fighting for wage improvements.	1	1	newspaper	neutral	-	-	-	-			
es	entailment					Let's see if we all have to go on strike until we get what we want.	We will have to choose to strike to get what we want.	1	2	newspaper	entailment	-	-	-	-			
es	contradiction					Let's see if we all have to go on strike until we get what we want.	The strike is ruled out even if we don't charge what we want.	1	3	newspaper	contradiction	-	-	-	-			
es	entailment					Professor of FP and career officer of the Department of Education, he has also been a councillor of the City of Malpartida de Cáceres since 1999, and first deputy mayor since 2007.	It is dedicated to politics and education.	2	4	newspaper	entailment	-	-	-	-			
es	neutral					Professor of FP and career officer of the Department of Education, he has also been a councillor of the City of Malpartida de Cáceres since 1999, and first deputy mayor since 2007.	Make a lot of money.	2	5	newspaper	neutral	-	-	-	-			
es	contradiction					Professor of FP and career officer of the Department of Education, he has also been a councillor of the City of Malpartida de Cáceres since 1999, and first deputy mayor since 2007.	He is mayor.	2	6	newspaper	contradiction	-	-	-	-			
es	entailment					Two hours later it was controlled, but the cause is not yet known.	They are investigating the cause of the fire.	3	7	newspaper	entailment	-	-	-	-			
es	neutral					Two hours later it was controlled, but the cause is not yet known.	The firefighters are working.	3	8	newspaper	neutral	-	-	-	-			
es	contradiction					Two hours later it was controlled, but the cause is not yet known.	The mountain burns out of control.	3	9	newspaper	contradiction	-	-	-	-			
es	entailment					Those who call themselves journalists think they do a social job and all they do is brutalize people with their shit of information from backyard gossip.	Those who call themselves journalists do nothing but brutalize the people.	4	10	newspaper	entailment	-	-	-	-			
es	contradiction					Those who call themselves journalists think they do a social job and all they do is brutalize people with their shit of information from backyard gossip.	Journalists divulge truthful and verified information, thanks to which they do a great social work.	4	11	newspaper	contradiction	-	-	-	-			
es	neutral					Those who call themselves journalists think they do a social job and all they do is brutalize people with their shit of information from backyard gossip.	Journalism is a profession that has less and less social prestige.	4	12	newspaper	neutral	-	-	-	-			
es	entailment					So, one day, he explodes, and on his imagination reaches a strange island where a handful of monsters make him their king.	He becomes an imaginary king.	5	13	newspaper	entailment	-	-	-	-			
es	contradiction					So, one day, he explodes, and on his imagination reaches a strange island where a handful of monsters make him their king.	The monsters of the imaginary island are Republicans.	5	14	newspaper	contradiction	-	-	-	-			
es	neutral					So, one day, he explodes, and on his imagination reaches a strange island where a handful of monsters make him their king.	There are coconut trees on the imaginary island.	5	15	newspaper	neutral	-	-	-	-			
es	neutral					According to this association, about 200,000 animals are abandoned a year in Spain and "many of them suffer ill-treatment ".	200,000 animals are abandoned a year in Spain	6	16	newspaper	neutral	-	-	-	-			
es	contradiction					According to this association, about 200,000 animals are abandoned a year in Spain and "many of them suffer ill-treatment ".	The association does not study animal abuse.	6	17	newspaper	contradiction	-	-	-	-			
es	entailment					According to this association, about 200,000 animals are abandoned a year in Spain and "many of them suffer ill-treatment ".	Many animals are abandoned and mistreated.	6	18	newspaper	entailment	-	-	-	-			
es	entailment					The company is not yours.	I can not send in the company.	7	19	newspaper	entailment	-	-	-	-			
es	contradiction					The company is not yours.	I am going to sell the company.	7	20	newspaper	contradiction	-	-	-	-			
es	neutral					The company is not yours.	There is a good atmosphere in the company.	7	21	newspaper	neutral	-	-	-	-			
es	entailment					The City Council of the capital stressed the relevance of this court ruling to fight vandalism.	The City Council of the capital stressed the importance of this sentence in the fight against vandalism.	8	22	newspaper	entailment	-	-	-	-			
es	contradiction					The City Council of the capital stressed the relevance of this court ruling to fight vandalism.	According to the City Council of the capital, this court ruling has no impact on the fight against vandalism.	8	23	newspaper	contradiction	-	-	-	-			
es	neutral					The City Council of the capital stressed the relevance of this court ruling to fight vandalism.	Vandalism is increasingly present in the capitals.	8	24	newspaper	neutral	-	-	-	-			
es	contradiction					The first is a succulent compensation already agreed upon of 85 days per year worked, with no seniority limit (the average is around 15 years and the gross salary is 1,200 euros).	Compensation is limited to seniority.	9	25	newspaper	contradiction	-	-	-	-			
es	neutral					The first is a succulent compensation already agreed upon of 85 days per year worked, with no seniority limit (the average is around 15 years and the gross salary is 1,200 euros).	The compensation already agreed upon of 85 days per year worked and with no seniority limit does not convince the trade unions.	9	26	newspaper	neutral	-	-	-	-			
es	entailment					The first is a succulent compensation already agreed upon of 85 days per year worked, with no seniority limit (the average is around 15 years and the gross salary is 1,200 euros).	Compensation has no age limit.	9	27	newspaper	entailment	-	-	-	-			
es	contradiction					Thus, two hooded men "suddenly" appeared, completely covered, disguised in ski masks and sunglasses.	Nobody appeared hooded	10	28	newspaper	contradiction	-	-	-	-			
es	neutral					Thus, two hooded men "suddenly" appeared, completely covered, disguised in ski masks and sunglasses.	The hooded men were men	10	29	newspaper	neutral	-	-	-	-			
es	entailment					Thus, two hooded men "suddenly" appeared, completely covered, disguised in ski masks and sunglasses.	The costumes completely covered the faces of the two who appeared	10	30	newspaper	entailment	-	-	-	-			
es	neutral					Some even say I work for the CIA, others say I work for Mossad and now for Microsoft.	At Microsoft I have 40 days of vacation.	11	31	newspaper	neutral	-	-	-	-			
es	entailment					Some even say I work for the CIA, others say I work for Mossad and now for Microsoft.	There are people who invent my trade.	11	32	newspaper	entailment	-	-	-	-			
es	contradiction					Some even say I work for the CIA, others say I work for Mossad and now for Microsoft.	I don't work.	11	33	newspaper	contradiction	-	-	-	-			
es	entailment					The technician hopes Torres will return to his best level.	The technician expects Torres to improve his level	12	34	newspaper	entailment	-	-	-	-			
es	neutral					The technician hopes Torres will return to his best level.	The technician is confident that Torres will return to his level as soon as possible	12	35	newspaper	neutral	-	-	-	-			
es	contradiction					The technician hopes Torres will return to his best level.	The technician does not believe that Torres will return to his best level	12	36	newspaper	contradiction	-	-	-	-			
es	neutral					The third television show in discord is Paco León, Aida's indescribable brother and the latest discovery of the small screen as far as comedians are concerned.	The ages of Aida and Paco León are different.	13	37	newspaper	neutral	-	-	-	-			
es	contradiction					The third television show in discord is Paco León, Aida's indescribable brother and the latest discovery of the small screen as far as comedians are concerned.	Aida and Paco León are not brothers.	13	38	newspaper	contradiction	-	-	-	-			
es	entailment					The third television show in discord is Paco León, Aida's indescribable brother and the latest discovery of the small screen as far as comedians are concerned.	Aida's brother is Paco León on the third television station.	13	39	newspaper	entailment	-	-	-	-			
es	contradiction					The ABC newspaper will premiere the remake of the "P" series in November.	ABC censors a remake of the series "P".	14	40	newspaper	contradiction	-	-	-	-			
es	neutral					The ABC newspaper will premiere the remake of the "P" series in November.	ABC specializes in series.	14	41	newspaper	neutral	-	-	-	-			
es	entailment					The ABC newspaper will premiere the remake of the "P" series in November.	ABC releases a remake in November.	14	42	newspaper	entailment	-	-	-	-			
es	neutral					Now, it seems that they have given another role to Ma Antonia Iglesias.	The previous role of Maria Antonia Iglesias was very small.	15	43	newspaper	neutral	-	-	-	-			
es	contradiction					Now, it seems that they have given another role to Ma Antonia Iglesias.	Maria Antonia no longer has any role.	15	44	newspaper	contradiction	-	-	-	-			
es	entailment					Now, it seems that they have given another role to Ma Antonia Iglesias.	It seems that Maria Antonia Iglesias has a new role.	15	45	newspaper	entailment	-	-	-	-			
es	neutral					You are very sociable and very open to fans.	You meet with your fans after each gig.	16	46	newspaper	neutral	-	-	-	-			
es	entailment					You are very sociable and very open to fans.	You have a very good relationship with the fans.	16	47	newspaper	entailment	-	-	-	-			
es	contradiction					You are very sociable and very open to fans.	You ignore your fans.	16	48	newspaper	contradiction	-	-	-	-			
es	entailment					Lucky Rosana and that you recover soon to Quesito.	Rosana has problems with Quesito.	17	49	newspaper	entailment	-	-	-	-			
es	contradiction					Lucky Rosana and that you recover soon to Quesito.	Quesito is already with Rosana.	17	50	newspaper	contradiction	-	-	-	-			
es	neutral					Lucky Rosana and that you recover soon to Quesito.	Rosana's cat is called Quesito.	17	51	newspaper	neutral	-	-	-	-			
es	neutral					One day the sport itself, on the lips of so many boys and girls who are beginning to take their first steps, will thank us.	The bulk of the population plays sports.	18	52	newspaper	neutral	-	-	-	-			
es	entailment					One day the sport itself, on the lips of so many boys and girls who are beginning to take their first steps, will thank us.	Many boys and girls started playing sports.	18	53	newspaper	entailment	-	-	-	-			
es	contradiction					One day the sport itself, on the lips of so many boys and girls who are beginning to take their first steps, will thank us.	Children hate us for having started playing sports.	18	54	newspaper	contradiction	-	-	-	-			
es	entailment					And this good gentleman with the best intention that he will have had, has put the leg to it.	Despite his good intentions, he was wrong.	19	55	newspaper	entailment	-	-	-	-			
es	neutral					And this good gentleman with the best intention that he will have had, has put the leg to it.	Age has played a trick on this good man.	19	56	newspaper	neutral	-	-	-	-			
es	contradiction					And this good gentleman with the best intention that he will have had, has put the leg to it.	The man was quite right.	19	57	newspaper	contradiction	-	-	-	-			
es	neutral					It was nothing else.	The reason was the puncture of the car.	20	58	newspaper	neutral	-	-	-	-			
es	contradiction					It was nothing else.	It was something else.	20	59	newspaper	contradiction	-	-	-	-			
es	entailment					It was nothing else.	It was that thing.	20	60	newspaper	entailment	-	-	-	-			
es	entailment					He obtained the original material thanks to his contacts in leisure establishments and bars, which sold him the empty bottles with the original seals and boxes.	The material came from bars and other leisure establishments.	21	61	newspaper	entailment	-	-	-	-			
es	contradiction					He obtained the original material thanks to his contacts in leisure establishments and bars, which sold him the empty bottles with the original seals and boxes.	I bought the bottles full and in boxes.	21	62	newspaper	contradiction	-	-	-	-			
es	neutral					He obtained the original material thanks to his contacts in leisure establishments and bars, which sold him the empty bottles with the original seals and boxes.	The bars only sold him the bottles in boxes.	21	63	newspaper	neutral	-	-	-	-			
es	entailment					The vehicle was pressed against the median at the height of the false Carlos Haya tunnel, one of the areas in which detentions are normally formed.	The vehicle had an accident against the median.	22	64	newspaper	entailment	-	-	-	-			
es	neutral					The vehicle was pressed against the median at the height of the false Carlos Haya tunnel, one of the areas in which detentions are normally formed.	There was an accident and two people died.	22	65	newspaper	neutral	-	-	-	-			
