language	gold_label	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	promptID	pairID	genre	label1	label2	label3	label4	label5	sentence1_tokenized	sentence2_tokenized	match
es	neutral					A ver si nos tenemos que poner todos en huelga hasta cobrar lo que queramos.	La huelga es el método de lucha más eficaz para conseguir mejoras en el salario.	1	1	newspaper	neutral	-	-	-	-			
es	entailment					A ver si nos tenemos que poner todos en huelga hasta cobrar lo que queramos.	Tendremos que optar por hacer una huelga para cobrar lo que queremos.	1	2	newspaper	entailment	-	-	-	-			
es	contradiction					A ver si nos tenemos que poner todos en huelga hasta cobrar lo que queramos.	Queda descartada la huelga aunque no cobremos lo que queramos.	1	3	newspaper	contradiction	-	-	-	-			
es	entailment					Profesor de FP y funcionario de carrera de la Consejería de Educación, ha sido también concejal del Ayuntamiento de Malpartida de Cáceres desde 1999, y primer teniente de alcalde desde 2007.	Se dedica a la política y a la educación.	2	4	newspaper	entailment	-	-	-	-			
es	neutral					Profesor de FP y funcionario de carrera de la Consejería de Educación, ha sido también concejal del Ayuntamiento de Malpartida de Cáceres desde 1999, y primer teniente de alcalde desde 2007.	Gana mucho dinero.	2	5	newspaper	neutral	-	-	-	-			
es	contradiction					Profesor de FP y funcionario de carrera de la Consejería de Educación, ha sido también concejal del Ayuntamiento de Malpartida de Cáceres desde 1999, y primer teniente de alcalde desde 2007.	Es alcalde.	2	6	newspaper	contradiction	-	-	-	-			
es	entailment					Dos horas después estaba controlado, pero todavía no se sabe la causa.	Están investigando la causa del incendio.	3	7	newspaper	entailment	-	-	-	-			
es	neutral					Dos horas después estaba controlado, pero todavía no se sabe la causa.	Los bomberos están trabajando.	3	8	newspaper	neutral	-	-	-	-			
es	contradiction					Dos horas después estaba controlado, pero todavía no se sabe la causa.	El monte arde fuera de control.	3	9	newspaper	contradiction	-	-	-	-			
es	entailment					Estos que se hacen llamar periodistas se creen que hacen una labor social y lo único que hacen es embrutecer a la gente con su mierda de información de cotillas de patio.	Estos que se hacen llamar periodistas no hacen más que embrutecer a la gente.	4	10	newspaper	entailment	-	-	-	-			
es	contradiction					Estos que se hacen llamar periodistas se creen que hacen una labor social y lo único que hacen es embrutecer a la gente con su mierda de información de cotillas de patio.	Los periodistas divulgan información veraz y contrastada, gracias a lo cual hacen una gran labor social.	4	11	newspaper	contradiction	-	-	-	-			
es	neutral					Estos que se hacen llamar periodistas se creen que hacen una labor social y lo único que hacen es embrutecer a la gente con su mierda de información de cotillas de patio.	El periodismo es una profesión que tiene cada vez menos prestigio social.	4	12	newspaper	neutral	-	-	-	-			
es	entailment					Por eso, un buen día, explota, y a lomos de su imaginación alcanza una extraña isla donde un puñado de monstruos le convierten en su rey.	Se convierte en un rey imaginario.	5	13	newspaper	entailment	-	-	-	-			
es	contradiction					Por eso, un buen día, explota, y a lomos de su imaginación alcanza una extraña isla donde un puñado de monstruos le convierten en su rey.	Los monstruos de la isla imaginaria son republicanos.	5	14	newspaper	contradiction	-	-	-	-			
es	neutral					Por eso, un buen día, explota, y a lomos de su imaginación alcanza una extraña isla donde un puñado de monstruos le convierten en su rey.	Hay cocoteros en la imaginaria isla.	5	15	newspaper	neutral	-	-	-	-			
es	neutral					Según esta asociación, cerca de 200.000 animales son abandonados al año en España y "muchos de ellos sufren malos tratos ".	200.000 animales son abandonados al año en España	6	16	newspaper	neutral	-	-	-	-			
es	contradiction					Según esta asociación, cerca de 200.000 animales son abandonados al año en España y "muchos de ellos sufren malos tratos ".	La asocación no estudia el maltrato animal.	6	17	newspaper	contradiction	-	-	-	-			
es	entailment					Según esta asociación, cerca de 200.000 animales son abandonados al año en España y "muchos de ellos sufren malos tratos ".	Muchos animales son abandonados y maltratados.	6	18	newspaper	entailment	-	-	-	-			
es	entailment					La empresa no es tuya.	No puedo mandar en la empresa.	7	19	newspaper	entailment	-	-	-	-			
es	contradiction					La empresa no es tuya.	Voy a vender la empresa.	7	20	newspaper	contradiction	-	-	-	-			
es	neutral					La empresa no es tuya.	Hay buen ambiente en la empresa.	7	21	newspaper	neutral	-	-	-	-			
es	entailment					El Ayuntamiento de la capital subrayó la relevancia de este fallo judicial para luchar contra el vandalismo.	El Ayuntamiento de la capital destacó la importancia de esta sentencia en la lucha contra el vandalismo.	8	22	newspaper	entailment	-	-	-	-			
es	contradiction					El Ayuntamiento de la capital subrayó la relevancia de este fallo judicial para luchar contra el vandalismo.	Según el Ayuntamiento de la capital este fallo judicial no tiene ninguna repercusión en la lucha contra el vandalismo.	8	23	newspaper	contradiction	-	-	-	-			
es	neutral					El Ayuntamiento de la capital subrayó la relevancia de este fallo judicial para luchar contra el vandalismo.	Cada vez está más presente el vandalismo en las capitales.	8	24	newspaper	neutral	-	-	-	-			
es	contradiction					El primero es una suculenta indemnización ya pactada de 85 días por año trabajado, sin límite de antigüedad (la media ronda los 15 años y el salario bruto, los 1.200 euros).	La indemnización tiene límite de antigüedad.	9	25	newspaper	contradiction	-	-	-	-			
es	neutral					El primero es una suculenta indemnización ya pactada de 85 días por año trabajado, sin límite de antigüedad (la media ronda los 15 años y el salario bruto, los 1.200 euros).	La indemnización ya pactada de 85 días por año trabajado y sin límite de antigüedad no convence a los sindicatos.	9	26	newspaper	neutral	-	-	-	-			
es	entailment					El primero es una suculenta indemnización ya pactada de 85 días por año trabajado, sin límite de antigüedad (la media ronda los 15 años y el salario bruto, los 1.200 euros).	La indemnización no tiene límite de antigüedad.	9	27	newspaper	entailment	-	-	-	-			
es	contradiction					Así, aparecieron "de pronto" dos encapuchados, completamente tapados, disfrazados con pasamontañas y gafas de sol.	Nadie apareció encapuchado	10	28	newspaper	contradiction	-	-	-	-			
es	neutral					Así, aparecieron "de pronto" dos encapuchados, completamente tapados, disfrazados con pasamontañas y gafas de sol.	Los encapuchados eran hombres	10	29	newspaper	neutral	-	-	-	-			
